"Source","Target"
"5311","7220"
"5337","8682"
"53615","53615"
"53615","57459"
"53615","54815"
"5371","2624"
"5371","5371"
"5371","1616"
"5371","7704"
"5451","6667"
"54535","5432"
"5457","2099"
"5468","5469"
"5493","4988"
"5499","55607"
"5499","170954"
"5499","4751"
"5499","5514"
"5500","51729"
"5501","7159"
"5501","51729"
"5502","23645"
"5504","4751"
"5511","23451"
"5511","988"
"5511","8726"
"5518","2768"
"5518","11145"
"5518","55705"
"5525","5610"
"5525","11200"
"5525","5518"
"5527","11200"
"5536","5518"
"5536","2768"
"5536","10672"
"5575","5573"
"5575","7486"
"5575","8165"
"5578","708"
"5578","9463"
"5579","3692"
"5580","708"
"5580","5170"
"55835","1387"
"5584","10818"
"5584","84612"
"5584","8878"
"5585","5170"
"5585","905"
"5585","4761"
"5590","10818"
"5590","84612"
"5590","5170"
"55914","55227"
"5592","29109"
"5594","5801"
"5594","8682"
"5594","5605"
"5594","4751"
"5594","10318"
"5595","8682"
"5595","8649"
"5595","51517"
"5596","896"
"5600","8841"
"56000","7514"
"5604","5594"
"5604","2887"
"5604","8649"
"5610","3609"
"56288","50848"
"5663","1501"
"5663","8502"
"5663","29979"
"5663","7087"
"5663","2317"
"5663","596"
"5663","23621"
"5664","29979"
"5664","2274"
"5664","7087"
"5664","2317"
"5664","10519"
"5705","2099"
"5710","3397"
"5710","5887"
"57111","9727"
"57120","6755"
"57120","6242"
"57120","2802"
"572","5499"
"572","4170"
"5725","5094"
"5728","260425"
"573","23645"
"573","6477"
"5730","3099"
"5747","9821"
"5747","8554"
"5747","50807"
"5747","4739"
"5747","3778"
"575","10458"
"57510","3609"
"5757","11331"
"5757","6774"
"576","2553"
"5774","6868"
"57763","9759"
"57786","367"
"578","4170"
"5781","6504"
"5782","6464"
"5782","7041"
"5782","5829"
"5783","4792"
"5783","5586"
"5783","1397"
"5792","8500"
"5793","1742"
"5797","10399"
"5824","225"
"5824","5193"
"5824","8504"
"5824","8800"
"5824","5195"
"5824","8799"
"5824","9409"
"5824","5194"
"5830","5193"
"5830","5191"
"5830","6755"
"5861","85377"
"5861","8615"
"5861","9950"
"5864","8573"
"5868","9610"
"5868","8411"
"5868","9135"
"5870","23299"
"5870","10112"
"5870","636"
"5879","50855"
"5879","8871"
"5894","7203"
"5894","3265"
"5894","2887"
"5894","51765"
"5898","8531"
"5898","55770"
"5898","149371"
"5900","4771"
"5901","5902"
"5901","2033"
"5901","10204"
"5901","57510"
"5906","5900"
"5906","54518"
"5906","10567"
"5911","5900"
"5912","5900"
"5914","2624"
"5925","10131"
"5925","10933"
"5925","9321"
"5925","573"
"5925","1877"
"5925","26959"
"5925","26574"
"5925","9984"
"5932","6477"
"5936","8900"
"595","6872"
"596","665"
"596","596"
"596","57142"
"596","8678"
"596","664"
"596","5499"
"596","1374"
"596","581"
"596","23770"
"596","572"
"597","572"
"5970","1387"
"5970","10848"
"5970","64320"
"5970","7159"
"5970","166"
"5970","2033"
"5978","23309"
"5978","23186"
"5979","55715"
"5979","2887"
"5979","55816"
"598","572"
"598","8678"
"598","665"
"598","581"
"598","664"
"598","23770"
"5984","5985"
"5987","5925"
"60","2275"
"602","580"
"602","10524"
"602","4790"
"604","7704"
"6047","23598"
"6048","8777"
"6118","10309"
"6118","29946"
"6118","7374"
"6197","50944"
"6198","55607"
"6204","9232"
"6256","7376"
"6256","9612"
"6256","9025"
"6256","6908"
"6258","1387"
"6271","6275"
"6272","23062"
"6272","26088"
"6275","6275"
